"","N","J","G00","TAU0","G10","TAU1","G20","TAU2","G30","TAU3","RHO01","RHO02","RHO12","X1_mu","X2_mu","X3_mu","X1_sd","X2_sd","X3_sd","R_12","R_13","R_23","TAUX","SIGMAX","S","nchain","niter","burn","thin","marg","SIG2"
"1",5,5,1,0.09,0.3,0.09,0.3,0,0,0,0,0,0,0,0,0,1,1,1,0.4,0.4,0.4,0.1,0.9,100,2,3000,1000,1,0,0.64
"2",15,5,1,0.09,0.3,0.09,0.3,0,0,0,0,0,0,0,0,0,1,1,1,0.4,0.4,0.4,0.1,0.9,100,2,3000,1000,1,0,0.64
"3",45,5,1,0.09,0.3,0.09,0.3,0,0,0,0,0,0,0,0,0,1,1,1,0.4,0.4,0.4,0.1,0.9,100,2,3000,1000,1,0,0.64
"4",5,15,1,0.09,0.3,0.09,0.3,0,0,0,0,0,0,0,0,0,1,1,1,0.4,0.4,0.4,0.1,0.9,100,2,3000,1000,1,0,0.64
"5",15,15,1,0.09,0.3,0.09,0.3,0,0,0,0,0,0,0,0,0,1,1,1,0.4,0.4,0.4,0.1,0.9,100,2,3000,1000,1,0,0.64
"6",45,15,1,0.09,0.3,0.09,0.3,0,0,0,0,0,0,0,0,0,1,1,1,0.4,0.4,0.4,0.1,0.9,100,2,3000,1000,1,0,0.64
"7",5,45,1,0.09,0.3,0.09,0.3,0,0,0,0,0,0,0,0,0,1,1,1,0.4,0.4,0.4,0.1,0.9,100,2,3000,1000,1,0,0.64
"8",15,45,1,0.09,0.3,0.09,0.3,0,0,0,0,0,0,0,0,0,1,1,1,0.4,0.4,0.4,0.1,0.9,100,2,3000,1000,1,0,0.64
"9",45,45,1,0.09,0.3,0.09,0.3,0,0,0,0,0,0,0,0,0,1,1,1,0.4,0.4,0.4,0.1,0.9,100,2,3000,1000,1,0,0.64
"10",5,5,1,0.09,0.3,0.09,0.3,0,0,0,0,0,0,0,0,0,1,1,1,0.4,0.4,0.4,0.1,0.9,100,2,3000,1000,1,1,0.64
"11",15,5,1,0.09,0.3,0.09,0.3,0,0,0,0,0,0,0,0,0,1,1,1,0.4,0.4,0.4,0.1,0.9,100,2,3000,1000,1,1,0.64
"12",45,5,1,0.09,0.3,0.09,0.3,0,0,0,0,0,0,0,0,0,1,1,1,0.4,0.4,0.4,0.1,0.9,100,2,3000,1000,1,1,0.64
"13",5,15,1,0.09,0.3,0.09,0.3,0,0,0,0,0,0,0,0,0,1,1,1,0.4,0.4,0.4,0.1,0.9,100,2,3000,1000,1,1,0.64
"14",15,15,1,0.09,0.3,0.09,0.3,0,0,0,0,0,0,0,0,0,1,1,1,0.4,0.4,0.4,0.1,0.9,100,2,3000,1000,1,1,0.64
"15",45,15,1,0.09,0.3,0.09,0.3,0,0,0,0,0,0,0,0,0,1,1,1,0.4,0.4,0.4,0.1,0.9,100,2,3000,1000,1,1,0.64
"16",5,45,1,0.09,0.3,0.09,0.3,0,0,0,0,0,0,0,0,0,1,1,1,0.4,0.4,0.4,0.1,0.9,100,2,3000,1000,1,1,0.64
"17",15,45,1,0.09,0.3,0.09,0.3,0,0,0,0,0,0,0,0,0,1,1,1,0.4,0.4,0.4,0.1,0.9,100,2,3000,1000,1,1,0.64
"18",45,45,1,0.09,0.3,0.09,0.3,0,0,0,0,0,0,0,0,0,1,1,1,0.4,0.4,0.4,0.1,0.9,100,2,3000,1000,1,1,0.64
